lunm= 21950000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991170000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 16285000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991171000000000000000000000000000000000000000000000000000000000000000000000000, pox=72, rnum=566500000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 10620000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991172000000000000000000000000000000000000000000000000000000000000000000000000, pox=72, rnum=566500000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 4955000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173000000000000000000000000000000000000000000000000000000000000000000000000, pox=72, rnum=566500000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 4388500000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173100000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3822000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173200000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3255500000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173300000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2689000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173400000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2122500000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173500000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1556000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173600000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 989500000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173700000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 423000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173800000000000000000000000000000000000000000000000000000000000000000000000, pox=71, rnum=56650000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 366350000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173810000000000000000000000000000000000000000000000000000000000000000000000, pox=70, rnum=5665000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 309700000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173820000000000000000000000000000000000000000000000000000000000000000000000, pox=70, rnum=5665000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 253050000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173830000000000000000000000000000000000000000000000000000000000000000000000, pox=70, rnum=5665000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 196400000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173840000000000000000000000000000000000000000000000000000000000000000000000, pox=70, rnum=5665000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 139750000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173850000000000000000000000000000000000000000000000000000000000000000000000, pox=70, rnum=5665000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 83100000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991173860000000000000000000000000000000000000000000000000000000000000000000000, pox=70, rnum=5665000000000000000000000000000000000000000000000000000000000000000000.0000
